,d1,d2,d1d2,angle,Cd,Cd_err,Sd1,Sd1_err,Sd2,Sd2_err,W,W_err
0,1,2,102,15.0,5690.0,75.43208866258443,432707.0,657.8046822575832,2899867.0,1702.899586000302,4.53461338546989e-09,6.056770241299526e-11
1,1,3,103,30.0,4172.0,64.59102104782058,432707.0,657.8046822575832,2833985.0,1683.444385775782,3.4021450955861187e-09,5.296398965383559e-11
2,1,4,104,45.0,4096.0,64.0,432707.0,657.8046822575832,3030096.0,1740.7170936140083,3.1239900280956003e-09,4.907565416039855e-11
3,1,5,105,60.0,3878.0,62.27358990776106,432707.0,657.8046822575832,3165618.0,1779.2183677109451,2.8311010908242003e-09,4.5693287990448414e-11
4,1,6,106,75.0,3586.0,59.88321968631947,432707.0,657.8046822575832,3108454.0,1763.080826281087,2.6660722797983333e-09,4.473085968851932e-11
5,1,7,107,90.0,3637.0,60.30754513325841,432707.0,657.8046822575832,3149000.0,1774.5421944828474,2.6691729777715657e-09,4.447041460782893e-11
6,1,8,108,105.0,3908.0,62.51399843235114,432707.0,657.8046822575832,3051020.0,1746.7169203966623,2.9601626839857303e-09,4.759552738638582e-11
7,1,9,109,120.0,4196.0,64.77653896280658,432707.0,657.8046822575832,3006357.0,1733.8849442797523,3.2255294205058685e-09,5.007013669951071e-11
8,1,10,110,16.3280765791,5189.0,72.03471385380801,432707.0,657.8046822575832,2746294.0,1657.194617418244,4.366593074990048e-09,6.103718065287396e-11
9,1,11,111,24.647970991599998,4671.0,68.3447144993671,432707.0,657.8046822575832,2862827.0,1691.9890661585257,3.770690109962247e-09,5.5513376957913925e-11
10,1,12,112,37.2343116272,4030.0,63.48228099241551,432707.0,657.8046822575832,2866957.0,1693.2090833680288,3.2485529200532987e-09,5.1446124741167515e-11
11,1,13,113,51.0095647237,3871.0,62.21736092120912,432707.0,657.8046822575832,2969843.0,1723.3232430394478,3.0122829201616804e-09,4.866295568835594e-11
12,1,14,114,65.2073716972,3677.0,60.63827174318213,432707.0,657.8046822575832,3083250.0,1755.9185630318964,2.7560746006814945e-09,4.567075939095789e-11
13,1,15,115,79.57764368,3467.0,58.881236400062114,432707.0,657.8046822575832,3052080.0,1747.0203204313336,2.6252097449677882e-09,4.478830042711666e-11
14,1,17,117,94.00581363389999,102.0,10.099504938362077,432707.0,657.8046822575832,483348.0,695.2323352664201,4.876927785960086e-10,4.829956602963116e-11
15,1,18,118,108.41259485299999,621.0,24.919871588754223,432707.0,657.8046822575832,3082072.0,1755.5830940174835,4.65644952045691e-10,1.8700972875075656e-11
16,1,19,119,122.70626676200001,671.0,25.903667693977237,432707.0,657.8046822575832,3055972.0,1748.1338621512941,5.074336088737282e-10,1.9606588699065376e-11
17,1,20,120,31.604676788499997,571.0,23.895606290697042,432707.0,657.8046822575832,2681810.0,1637.6232778023157,4.920556030090383e-10,2.0607658751269148e-11
18,1,21,121,40.8718065555,557.0,23.600847442411894,432707.0,657.8046822575832,2694233.0,1641.4118922439914,4.777779723445128e-10,2.0259218928826835e-11
19,1,22,122,52.4730278643,535.0,23.130067012440755,432707.0,657.8046822575832,2709903.0,1646.1783013999425,4.562534015837345e-10,1.9739691125087468e-11
20,1,23,123,65.12862620840001,462.0,21.494185260204677,432707.0,657.8046822575832,2745064.0,1656.8234667580007,3.889516160955985e-10,1.810684653042955e-11
21,1,24,124,78.2660012051,502.0,22.40535650240808,432707.0,657.8046822575832,2948047.0,1716.9877693216106,3.9352777775741236e-10,1.7575684164491174e-11
22,1,25,125,91.5875915397,519.0,22.781571499789035,432707.0,657.8046822575832,2953516.0,1718.5796461031418,4.0610104685146226e-10,1.783810987717359e-11
23,1,26,126,104.88563918,535.0,23.130067012440755,432707.0,657.8046822575832,2947024.0,1716.68983803132,4.1954271893000083e-10,1.8151268513943734e-11
24,1,27,127,117.941467784,590.0,24.289915602982237,432707.0,657.8046822575832,2903996.0,1704.1114986995422,4.695286277395818e-10,1.934532385637143e-11
25,1,28,128,130.414743394,640.0,25.298221281347036,432707.0,657.8046822575832,2936142.0,1713.517434985708,5.037429690992234e-10,1.9929077889531112e-11
26,1,29,129,60.0,520.0,22.80350850198276,432707.0,657.8046822575832,2732446.0,1653.0111917346476,4.3980264280840587e-10,1.9300040971024463e-11
27,1,30,130,75.0,508.0,22.538855339169288,432707.0,657.8046822575832,2795607.0,1672.006877976284,4.199462157830804e-10,1.8644726070486807e-11
28,1,31,131,90.0,514.0,22.67156809750927,432707.0,657.8046822575832,2891393.0,1700.4096565239802,4.1082992740833697e-10,1.8133300386382964e-11
29,1,33,133,105.0,90.0,9.486832980505138,432707.0,657.8046822575832,482057.0,694.3032478679615,4.3146959277482973e-10,4.548986308108666e-11
30,1,34,134,120.0,638.0,25.25866188063018,432707.0,657.8046822575832,3234290.0,1798.4131894534137,4.5587712403634316e-10,1.8063427587019557e-11
31,1,35,135,135.0,715.0,26.739483914241877,432707.0,657.8046822575832,3123873.0,1767.448160484488,5.289550300798012e-10,1.980039524461299e-11
32,1,36,136,150.0,817.0,28.583211855912904,432707.0,657.8046822575832,3200654.0,1789.037171218083,5.89914956702381e-10,2.0660618039312186e-11
33,1,37,137,165.0,844.0,29.0516780926679,432707.0,657.8046822575832,3132125.0,1769.7810599054337,6.22743839110693e-10,2.1459507174258714e-11
34,1,38,138,180.0,842.0,29.017236257093817,432707.0,657.8046822575832,3039207.0,1743.3321542379697,6.402622400504972e-10,2.2089404729781336e-11
35,1,39,139,57.2937332383,532.0,23.065125189341593,432707.0,657.8046822575832,2745417.0,1656.9299924861039,4.478260911897263e-10,1.9429535185116692e-11
36,1,40,140,71.58740514729999,537.0,23.173260452512935,432707.0,657.8046822575832,2793058.0,1671.2444465128374,4.443246531183365e-10,1.9187760063765786e-11
37,1,41,141,85.99418636610001,525.0,22.9128784747792,432707.0,657.8046822575832,2873918.0,1695.2634013627498,4.221735398591147e-10,1.843801983534453e-11
38,1,42,142,100.42235632,551.0,23.473389188611005,432707.0,657.8046822575832,3010806.0,1735.167427080165,4.2293624495613137e-10,1.803080538615399e-11
39,1,43,143,114.79262830299999,572.0,23.916521486202797,432707.0,657.8046822575832,3203271.0,1789.7684207740397,4.126752526852655e-10,1.7267759526376358e-11
40,1,44,144,128.990435276,697.0,26.40075756488817,432707.0,657.8046822575832,3109672.0,1763.426210534481,5.179934569252409e-10,1.9638394030464587e-11
41,1,45,145,142.765688373,807.0,28.407745422683583,432707.0,657.8046822575832,3119216.0,1766.1302330236012,5.979077240698185e-10,2.1069686220748185e-11
42,1,46,146,155.352029008,781.0,27.94637722496424,432707.0,657.8046822575832,3129640.0,1769.0788563543458,5.767169677137307e-10,2.0657743284214533e-11
43,1,47,147,163.671923421,748.0,27.349588662354687,432707.0,657.8046822575832,2995837.0,1730.8486357853478,5.77018180147331e-10,2.1118733158796346e-11
44,2,3,203,15.0,5818.0,76.27581530209953,2899867.0,1702.899586000302,2833985.0,1683.444385775782,7.079426706812776e-10,9.300170267102252e-12
45,2,4,204,30.0,4710.0,68.62943974709395,2899867.0,1702.899586000302,3030096.0,1740.7170936140083,5.360267202017821e-10,7.822852095751014e-12
46,2,5,205,45.0,4380.0,66.18156843109719,2899867.0,1702.899586000302,3165618.0,1779.2183677109451,4.7713087880526e-10,7.219846959155995e-12
47,2,6,206,60.0,4095.0,63.99218702310463,2899867.0,1702.899586000302,3108454.0,1763.080826281087,4.5428812164880173e-10,7.1088004965286235e-12
48,2,7,207,75.0,3787.0,61.538605769061746,2899867.0,1702.899586000302,3149000.0,1774.5421944828474,4.147100543818887e-10,6.747469801508629e-12
49,2,8,208,90.0,3938.0,62.75348595894893,2899867.0,1702.899586000302,3051020.0,1746.7169203966623,4.450948583968049e-10,7.102138234993967e-12
50,2,9,209,105.0,3988.0,63.150613615387776,2899867.0,1702.899586000302,3006357.0,1733.8849442797523,4.57442507638899e-10,7.253453514520734e-12
51,2,10,210,24.647970991599998,4745.0,68.8839603971781,2899867.0,1702.899586000302,2746294.0,1657.194617418244,5.958145558439466e-10,8.664076374063896e-12
52,2,11,211,23.170902359499998,4969.0,70.49113419430843,2899867.0,1702.899586000302,2862827.0,1691.9890661585257,5.985436289895187e-10,8.505679511520964e-12
53,2,12,212,29.872934483,4515.0,67.19374970932937,2899867.0,1702.899586000302,2866957.0,1693.2090833680288,5.430733553017997e-10,8.094846525698966e-12
54,2,13,213,40.9015853478,4294.0,65.5286197016235,2899867.0,1702.899586000302,2969843.0,1723.3232430394478,4.985979278291872e-10,7.619983477502295e-12
55,2,14,214,53.6277028886,4087.0,63.92964883369844,2899867.0,1702.899586000302,3083250.0,1755.9185630318964,4.571069428947358e-10,7.1599265894977626e-12
56,2,15,215,67.0573256256,3864.0,62.161081071680215,2899867.0,1702.899586000302,3052080.0,1747.0203204313336,4.365792846712248e-10,7.0324732784364654e-12
57,2,17,217,80.7916324965,481.0,21.93171219946131,2899867.0,1702.899586000302,483348.0,695.2323352664201,3.4316822680975503e-10,1.5656204909815917e-11
58,2,18,218,94.62677464549999,3831.0,61.89507250177513,2899867.0,1702.899586000302,3082072.0,1755.5830940174835,4.286386141893742e-10,6.934118969901301e-12
59,2,19,219,108.41259485299999,4059.0,63.7102817447859,2899867.0,1702.899586000302,3055972.0,1748.1338621512941,4.5802754948013566e-10,7.199024190391138e-12
60,2,20,220,40.8718065555,3665.0,60.53924347066124,2899867.0,1702.899586000302,2681810.0,1637.6232778023157,4.712679370548397e-10,7.794734950938935e-12
61,2,21,221,45.302126489799996,3655.0,60.45659600076736,2899867.0,1702.899586000302,2694233.0,1641.4118922439914,4.678150079294003e-10,7.74814951232125e-12
62,2,22,222,52.9416745279,3619.0,60.15812497078013,2899867.0,1702.899586000302,2709903.0,1646.1783013999425,4.605287605522621e-10,7.665186638944488e-12
