,ch,Sd,Sd_err
0,1,432707.0,657.8046822575832
1,2,2899867.0,1702.899586000302
2,3,2833985.0,1683.444385775782
3,4,3030096.0,1740.7170936140083
4,5,3165618.0,1779.2183677109451
5,6,3108454.0,1763.080826281087
6,7,3149000.0,1774.5421944828474
7,8,3051020.0,1746.7169203966623
8,9,3006357.0,1733.8849442797523
9,10,2746294.0,1657.194617418244
10,11,2862827.0,1691.9890661585257
11,12,2866957.0,1693.2090833680288
12,13,2969843.0,1723.3232430394478
13,14,3083250.0,1755.9185630318964
14,15,3052080.0,1747.0203204313336
15,17,483348.0,695.2323352664201
16,18,3082072.0,1755.5830940174835
17,19,3055972.0,1748.1338621512941
18,20,2681810.0,1637.6232778023157
19,21,2694233.0,1641.4118922439914
20,22,2709903.0,1646.1783013999425
21,23,2745064.0,1656.8234667580007
22,24,2948047.0,1716.9877693216106
23,25,2953516.0,1718.5796461031418
24,26,2947024.0,1716.68983803132
25,27,2903996.0,1704.1114986995422
26,28,2936142.0,1713.517434985708
27,29,2732446.0,1653.0111917346476
28,30,2795607.0,1672.006877976284
29,31,2891393.0,1700.4096565239802
30,33,482057.0,694.3032478679615
31,34,3234290.0,1798.4131894534137
32,35,3123873.0,1767.448160484488
33,36,3200654.0,1789.037171218083
34,37,3132125.0,1769.7810599054337
35,38,3039207.0,1743.3321542379697
36,39,2745417.0,1656.9299924861039
37,40,2793058.0,1671.2444465128374
38,41,2873918.0,1695.2634013627498
39,42,3010806.0,1735.167427080165
40,43,3203271.0,1789.7684207740397
41,44,3109672.0,1763.426210534481
42,45,3119216.0,1766.1302330236012
43,46,3129640.0,1769.0788563543458
44,47,2995837.0,1730.8486357853478
