,ch,Sd,Sd_err
0,1,387653.0,622.6178603284683
1,2,405096.0,636.4715233221358
2,3,417989.0,646.5206879907247
3,4,422688.0,650.1445993008017
4,5,428281.0,654.4318146300652
5,6,425148.0,652.0337414582162
6,7,413351.0,642.9237901960076
7,8,372070.0,609.9754093404094
8,9,362672.0,602.2225502254129
9,10,385102.0,620.5658707985801
10,11,402380.0,634.3342967237386
11,12,415702.0,644.749563784265
12,13,417124.0,645.8513760920541
13,14,418388.0,646.829189199127
14,15,416175.0,645.1162685903992
15,17,409627.0,640.0210934023971
16,18,380041.0,616.4746547912574
17,19,359102.0,599.2511994147362
18,20,372329.0,610.1876760472961
19,21,393057.0,626.9425811029269
20,22,393457.0,627.2615084635753
21,23,393015.0,626.9090843176544
22,24,393143.0,627.0111641749291
23,25,393085.0,626.9649112988701
24,26,381269.0,617.4698373200104
25,27,368760.0,607.2561238884298
26,28,342812.0,585.5014944472815
27,29,391959.0,626.0662904197925
28,30,407419.0,638.2938194906794
29,31,425261.0,652.1203876585979
30,33,428274.0,654.4264664574623
31,34,434943.0,659.5020849095172
32,35,426990.0,653.4447183962849
33,36,414978.0,644.1878607983854
34,37,379272.0,615.8506312410502
35,38,362771.0,602.304740144057
36,39,388279.0,623.1203736036882
37,40,405350.0,636.6710296534624
38,41,417603.0,646.2220980436989
39,42,425212.0,652.0828168262066
40,43,424535.0,651.5635041958689
41,44,415008.0,644.2111455105384
42,45,409565.0,639.9726556658495
43,46,382277.0,618.2855327435699
44,47,357172.0,597.6386868334412
