,ch,Sd,Sd_err
0,1,1863037.0,1364.9311337939362
1,2,1898604.0,1377.8983997378036
2,3,1942604.0,1393.7732957694375
3,4,1964282.0,1401.528451370146
4,5,1981877.0,1407.7915328627319
5,6,1942733.0,1393.8195722546013
6,7,1858142.0,1363.1368236534438
7,8,1775234.0,1332.379075188439
8,9,1678084.0,1295.4088157797908
9,10,1847409.0,1359.1942466034793
10,11,1892388.0,1375.6409415250769
11,12,1934634.0,1390.9112121195947
12,13,1937803.0,1392.0499272655418
13,14,1935855.0,1391.3500637869681
14,15,1898279.0,1377.7804614669203
15,17,1846649.0,1358.9146404392
16,18,1769727.0,1330.3108659257055
17,19,1692613.0,1301.0046118288744
18,20,1796441.0,1340.313769234652
19,21,1840266.0,1356.5640419825377
20,22,1835562.0,1354.8291405192022
21,23,1834427.0,1354.4102037418354
22,24,1819409.0,1348.8546993653542
23,25,1804036.0,1343.1440726891512
24,26,1721463.0,1312.0453498259883
25,27,1684064.0,1297.7149147636394
26,28,1626184.0,1275.2191968442132
27,29,1890403.0,1374.9192703573544
28,30,1913287.0,1383.2161797781284
29,31,1981409.0,1407.625305257049
30,33,1991435.0,1411.1821285716455
31,34,2008892.0,1417.3538725385415
32,35,1952554.0,1397.3381838338205
33,36,1869040.0,1367.1283772930763
34,37,1801336.0,1342.1385919494305
35,38,1679206.0,1295.8418113334667
36,39,1863830.0,1365.2215937348778
37,40,1897927.0,1377.6527138578865
38,41,1942807.0,1393.8461177619286
39,42,1970465.0,1403.7325243791995
40,43,1964533.0,1401.6179936059611
41,44,1898137.0,1377.7289283454854
42,45,1849113.0,1359.8209440952144
43,46,1785182.0,1336.1070316408038
44,47,1686664.0,1298.7162892641334
