,d1,d2,d1d2,angle,Cd,Cd_err,Sd1,Sd1_err,Sd2,Sd2_err,W,W_err
0,1,2,102,15.0,5839.0,76.41334961902926,862920.0,928.9348739281995,893764.0,945.3909244328507,7.570857689408779e-09,9.973435462445045e-11
1,1,3,103,30.0,4439.0,66.6258208204597,862920.0,928.9348739281995,897365.0,947.2935131204056,5.732518744976642e-09,8.647351907483518e-11
2,1,4,104,45.0,3782.0,61.497967446087195,862920.0,928.9348739281995,932432.0,965.6251860841245,4.700389204197061e-09,7.675343887205418e-11
3,1,5,105,60.0,3530.0,59.413803110051795,862920.0,928.9348739281995,999390.0,999.6949534733083,4.093258487825908e-09,6.915615457959075e-11
4,1,6,106,75.0,3042.0,55.154328932550705,862920.0,928.9348739281995,1029637.0,1014.7103034856796,3.423769622874195e-09,6.227696434311423e-11
5,1,7,107,90.0,2866.0,53.53503525729669,862920.0,928.9348739281995,1019116.0,1009.5127537579701,3.2589825212915804e-09,6.106210163474452e-11
6,1,8,108,105.0,2573.0,50.724747411889595,862920.0,928.9348739281995,986271.0,993.1117761863466,3.0232425264420277e-09,5.976730691546851e-11
7,1,9,109,120.0,2516.0,50.15974481593781,862920.0,928.9348739281995,933777.0,966.3213751128555,3.1224603294854064e-09,6.242469478150888e-11
8,1,10,110,16.3280765791,5424.0,73.64781055808787,862920.0,928.9348739281995,868504.0,931.9356200940063,7.2373124606270185e-09,9.888299595018818e-11
9,1,11,111,24.647970991599998,4647.0,68.16890786861705,862920.0,928.9348739281995,901282.0,949.358730933676,5.975048571790875e-09,8.811140257582912e-11
10,1,12,112,37.2343116272,4109.0,64.10148204214939,862920.0,928.9348739281995,902231.0,949.8584105012704,5.277738418488004e-09,8.271673257164604e-11
11,1,13,113,51.0095647237,3626.0,60.21627686929839,862920.0,928.9348739281995,927414.0,963.0233642025514,4.530891030302249e-09,7.554819077943936e-11
12,1,14,114,65.2073716972,3228.0,56.815490845367165,862920.0,928.9348739281995,987754.0,993.8581387703176,3.787164714068316e-09,6.689044198438767e-11
13,1,15,115,79.57764368,2947.0,54.286278192559855,862920.0,928.9348739281995,1013700.0,1006.8266980965493,3.368993356354247e-09,6.225563100624161e-11
14,1,17,117,94.00581363389999,2608.0,51.068581339214816,862920.0,928.9348739281995,1021763.0,1010.8229320706965,2.9579231083967363e-09,5.8081826612077835e-11
15,1,18,118,108.41259485299999,2520.0,50.19960159204453,862920.0,928.9348739281995,996106.0,998.0511008961415,2.931733232201604e-09,5.856045670991139e-11
16,1,19,119,122.70626676200001,2619.0,51.176166327695945,862920.0,928.9348739281995,958771.0,979.1685248209319,3.165556535143371e-09,6.203416542388141e-11
17,1,20,120,31.604676788499997,3995.0,63.20601237224193,862920.0,928.9348739281995,832361.0,912.3382048341504,5.5620453500700175e-09,8.841258159646995e-11
18,1,21,121,40.8718065555,3744.0,61.18823416311342,862920.0,928.9348739281995,862920.0,928.9348739281995,5.027994228094688e-09,8.252832296785526e-11
19,1,22,122,52.4730278643,3180.0,56.39148871948674,862920.0,928.9348739281995,836403.0,914.5507093649865,4.4059645984837905e-09,7.842367731038507e-11
20,1,23,123,65.12862620840001,2844.0,53.32916650389353,862920.0,928.9348739281995,855310.0,924.829714055512,3.853323823720347e-09,7.249427023988687e-11
21,1,24,124,78.2660012051,2669.0,51.66236541235796,862920.0,928.9348739281995,904433.0,951.0168242465535,3.4198073308082538e-09,6.639507122889343e-11
22,1,25,125,91.5875915397,2537.0,50.368641037852115,862920.0,928.9348739281995,942628.0,970.8903130632214,3.1189585017746727e-09,6.209673727942082e-11
23,1,26,126,104.88563918,2406.0,49.05099387372289,862920.0,928.9348739281995,931180.0,964.9766836561389,2.9942733752595524e-09,6.120783745115462e-11
24,1,27,127,117.941467784,2455.0,49.54795656734998,862920.0,928.9348739281995,932167.0,965.4879595313449,3.0520190314243773e-09,6.176577764289949e-11
25,1,28,128,130.414743394,2561.0,50.60632371551998,862920.0,928.9348739281995,906860.0,952.2919720337876,3.272644242846697e-09,6.485568734853048e-11
26,1,29,129,60.0,3155.0,56.16938667993447,862920.0,928.9348739281995,873310.0,934.5105670884626,4.186589651591255e-09,7.480548148289245e-11
27,1,30,130,75.0,2781.0,52.73518749374084,862920.0,928.9348739281995,893373.0,945.1841090496603,3.6074276624560673e-09,6.862282245363489e-11
28,1,31,131,90.0,2458.0,49.57822102496216,862920.0,928.9348739281995,908624.0,953.2177086059617,3.134924889060717e-09,6.34072364948039e-11
29,1,33,133,105.0,2409.0,49.08156476723211,862920.0,928.9348739281995,937435.0,968.2122701143587,2.978002794333823e-09,6.08370039012025e-11
30,1,34,134,120.0,2679.0,51.75905717843013,862920.0,928.9348739281995,1007247.0,1003.6169588045033,3.0822381832844307e-09,5.972112051098148e-11
