d1,d2,d1d2,angle
1,2,102,15.0
1,3,103,30.0
1,4,104,45.0
1,5,105,60.0
1,6,106,75.0
1,7,107,90.0
1,8,108,105.0
1,9,109,120.0
1,10,110,16.3280765791
1,11,111,24.6479709916
1,12,112,37.2343116272
1,13,113,51.0095647237
1,14,114,65.2073716972
1,15,115,79.57764368
1,17,117,94.0058136339
1,18,118,108.412594853
1,19,119,122.706266762
1,20,120,31.6046767885
1,21,121,40.8718065555
1,22,122,52.4730278643
1,23,123,65.1286262084
1,24,124,78.2660012051
1,25,125,91.5875915397
1,26,126,104.88563918
1,27,127,117.941467784
1,28,128,130.414743394
1,29,129,60.0
1,30,130,75.0
1,31,131,90.0
1,33,133,105.0
1,34,134,120.0
1,35,135,135.0
1,36,136,150.0
1,37,137,165.0
1,38,138,180.0
1,39,139,57.2937332383
1,40,140,71.5874051473
1,41,141,85.9941863661
1,42,142,100.42235632
1,43,143,114.792628303
1,44,144,128.990435276
1,45,145,142.765688373
1,46,146,155.352029008
1,47,147,163.671923421
2,3,203,15.0
2,4,204,30.0
2,5,205,45.0
2,6,206,60.0
2,7,207,75.0
2,8,208,90.0
2,9,209,105.0
2,10,210,24.6479709916
2,11,211,23.1709023595
2,12,212,29.872934483
2,13,213,40.9015853478
2,14,214,53.6277028886
2,15,215,67.0573256256
2,17,217,80.7916324965
2,18,218,94.6267746455
2,19,219,108.412594853
2,20,220,40.8718065555
2,21,221,45.3021264898
2,22,222,52.9416745279
2,23,223,62.5600315831
2,24,224,73.2853008441
2,25,225,84.5605601275
2,26,226,95.9971550721
2,27,227,107.255405777
2,28,228,117.941467784
2,29,229,75.0
2,30,230,90.0
2,31,231,105.0
2,33,233,120.0
2,34,234,135.0
2,35,235,150.0
2,36,236,165.0
2,37,237,180.0
2,38,238,165.0
2,39,239,71.5874051473
2,40,240,85.3732253545
2,41,241,99.2083675035
2,42,242,112.942674374
2,43,243,126.372297111
2,44,244,139.098414652
2,45,245,150.127065517
2,46,246,156.829097641
2,47,247,155.352029008
3,4,304,15.0
3,5,305,30.0
3,6,306,45.0
3,7,307,60.0
3,8,308,75.0
3,9,309,90.0
3,10,310,37.2343116272
3,11,311,29.872934483
